CurveSurface,CurveType,Name,ID,Datum,Relative Curve,RiskMetrics Link,Term Interp,Time Interp,CurveUnit,Surface,
,Index,C00036020_NASDAQ_AAON_0,C00036020_NASDAQ_AAON_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,19.06,
,Index,C00036110_NYSE_AIR_0,C00036110_NYSE_AIR_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,27.71,
,Index,C00037520_NYSE_ABB_0,C00037520_NYSE_ABB_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,22.91,
,Index,C00081T10_NYSE_ACCO_0,C00081T10_NYSE_ACCO_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,7.91,
,Index,C00095710_NYSE_ABM_0,C00095710_NYSE_ABM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,28.34,
,Index,C00100410_NASDAQ_ADMT_0,C00100410_NASDAQ_ADMT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.1383,
,Index,C00101J10_NYSE_ADT_0,C00101J10_NYSE_ADT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,37.2,
,Index,C00103110_NASDAQ_AEPI_0,C00103110_NASDAQ_AEPI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,45.42,
,Index,C00105510_NYSE_AFL_0,C00105510_NYSE_AFL_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,61.05,
,Index,C00108410_NYSE_AGCO_0,C00108410_NYSE_AGCO_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,48.12,
,Index,C00120410_NYSE_GAS_0,C00120410_NYSE_GAS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,54.09,
,Index,C00123620_NASDAQ_AGRT_0,C00123620_NASDAQ_AGRT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0050,
,Index,C00128210_NYSE_AHC_0,C00128210_NYSE_AHC_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,11.47,
,Index,C00130H10_NYSE_AES_0,C00130H10_NYSE_AES_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,14.94,
,Index,C00154710_NYSE_AKS_0,C00154710_NYSE_AKS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,9.84,
,Index,C00163010_NASDAQ_ALRT_0,C00163010_NASDAQ_ALRT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0325,
