FactorGroup,Name,Currency,Price/Yield,Date,Value
equity_data,J00IRVol,J00,Price,2012/10/5,1
,,,,2012/10/9,0.00908442
,,,,2012/10/10,8.16329e-005
,,,,2012/10/11,6.95483e-007
,,,,2012/10/12,6.39152e-009
,,,,2012/10/15,5.49489e-011
,,,,2012/10/16,4.59629e-013
,,,,2012/10/17,3.90549e-015
,,,,2012/10/18,3.60097e-017
,,,,2012/10/19,3.62555e-019
,,,,2012/10/22,3.28038e-021
,,,,2012/10/23,3.1813e-023
,,,,2012/10/24,2.97906e-025
,,,,2012/10/25,2.67166e-027
,,,,2012/10/26,2.51595e-029
,,,,2012/10/31,2.30092e-031
,,,,2012/11/1,1.97764e-033
,,,,2012/11/2,2.02414e-035
,,,,2012/11/5,1.8928e-037
,,,,2012/11/6,1.70257e-039
,,,,2012/11/7,1.94689e-041
,,,,2012/11/8,2.05832e-043
,,,,2012/11/9,1.99676e-045
,,,,2012/11/13,1.98935e-047
,,,,2012/11/14,2.23419e-049
,,,,2012/11/15,2.2827e-051
,,,,2012/11/16,2.16331e-053
,,,,2012/11/19,1.99444e-055
,,,,2012/11/20,1.99166e-057
,,,,2012/11/21,1.94982e-059
,,,,2012/11/23,1.86234e-061
,,,,2012/11/26,1.89993e-063
,,,,2012/11/27,1.99931e-065
,,,,2012/11/28,1.99341e-067
,,,,2012/11/29,1.94888e-069
,,,,2012/11/30,2.0256e-071
,,,,2012/12/3,2.14743e-073
,,,,2012/12/4,2.26643e-075
,,,,2012/12/5,2.40812e-077
,,,,2012/12/6,2.54208e-079
,,,,2012/12/7,2.69329e-081
,,,,2012/12/10,2.85421e-083
,,,,2012/12/11,2.9401e-085
,,,,2012/12/12,3.2652e-087
,,,,2012/12/13,3.72221e-089
,,,,2012/12/14,4.09798e-091
,,,,2012/12/19,4.19492e-093
,,,,2012/12/20,4.51257e-095
,,,,2012/12/21,5.33532e-097
,,,,2012/12/24,6.09191e-099
,,,,2012/12/26,7.12896e-101
,,,,2012/12/27,8.24678e-103
,,,,2012/12/28,9.9823e-105
,,,,2012/12/31,1.07493e-106
,,,,2013/1/4,1.11427e-108
,,,,2013/1/7,1.3377e-110
,,,,2013/1/8,1.62669e-112
,,,,2013/1/9,1.88309e-114
,,,,2013/1/10,2.20743e-116
,,,,2013/1/11,2.67319e-118
,,,,2013/1/14,3.24511e-120
,,,,2013/1/15,3.9082e-122
,,,,2013/1/16,4.89469e-124
,,,,2013/1/17,5.69624e-126
,,,,2013/1/18,6.93042e-128
,,,,2013/1/22,8.4206e-130
,,,,2013/1/23,1.07477e-131
,,,,2013/1/24,1.32955e-133
,,,,2013/1/25,1.63092e-135
,,,,2013/1/28,2.07292e-137
,,,,2013/1/29,2.62272e-139
,,,,2013/1/30,3.56448e-141
,,,,2013/1/31,4.53512e-143
,,,,2013/2/1,5.49716e-145
,,,,2013/2/4,7.56952e-147
,,,,2013/2/5,9.40386e-149
,,,,2013/2/6,1.22319e-150
,,,,2013/2/7,1.6644e-152
,,,,2013/2/8,2.13349e-154
,,,,2013/2/11,2.86154e-156
,,,,2013/2/12,3.74904e-158
,,,,2013/2/13,5.02148e-160
,,,,2013/2/14,6.75346e-162
,,,,2013/2/15,9.28323e-164
,,,,2013/2/19,1.23948e-165
,,,,2013/2/20,1.93675e-167
,,,,2013/2/21,2.90119e-169
,,,,2013/2/22,3.78787e-171
,,,,2013/2/25,5.78314e-173
,,,,2013/2/26,7.93806e-175
,,,,2013/2/27,1.04353e-176
,,,,2013/2/28,1.49e-178
,,,,2013/3/1,2.11998e-180
,,,,2013/3/4,3.02988e-182
,,,,2013/3/5,4.09757e-184
,,,,2013/3/6,5.90466e-186
,,,,2013/3/7,8.43731e-188
,,,,2013/3/8,1.17876e-189
,,,,2013/3/11,1.73006e-191
,,,,2013/3/12,2.63395e-193
,,,,2013/3/13,3.88416e-195
,,,,2013/3/14,5.53661e-197
,,,,2013/3/15,8.42853e-199
,,,,2013/3/18,1.30709e-200
,,,,2013/3/19,2.05057e-202
,,,,2013/3/20,2.97859e-204
,,,,2013/3/21,4.84372e-206
,,,,2013/3/22,7.30029e-208
,,,,2013/3/25,1.14317e-209
,,,,2013/3/26,1.73555e-211
,,,,2013/3/27,2.73825e-213
,,,,2013/3/28,4.20968e-215
,,,,2013/4/1,6.91835e-217
,,,,2013/4/2,1.1241e-218
,,,,2013/4/3,2.00603e-220
,,,,2013/4/4,3.13619e-222
,,,,2013/4/5,5.19594e-224
,,,,2013/4/8,8.21882e-226
,,,,2013/4/9,1.34774e-227
,,,,2013/4/10,2.00976e-229
,,,,2013/4/11,3.28062e-231
,,,,2013/4/12,5.64805e-233
,,,,2013/4/15,1.07975e-234
,,,,2013/4/16,1.6335e-236
,,,,2013/4/17,3.13315e-238
,,,,2013/4/18,5.51799e-240
,,,,2013/4/19,8.76828e-242
,,,,2013/4/22,1.48833e-243
,,,,2013/4/23,2.34406e-245
,,,,2013/4/24,3.93674e-247
,,,,2013/4/25,6.57265e-249
,,,,2013/4/26,1.19252e-250
,,,,2013/4/29,2.03087e-252
,,,,2013/4/30,3.46311e-254
,,,,2013/5/1,6.99021e-256
,,,,2013/5/2,1.15173e-257
,,,,2013/5/3,1.87125e-259
,,,,2013/5/6,3.30735e-261
,,,,2013/5/7,5.70882e-263
,,,,2013/5/8,1.0099e-264
,,,,2013/5/9,1.90499e-266
,,,,2013/5/10,3.36142e-268
,,,,2013/5/13,6.25023e-270
,,,,2013/5/14,1.0834e-271
,,,,2013/5/15,1.96906e-273
,,,,2013/5/16,3.8043e-275
,,,,2013/5/17,6.69338e-277
,,,,2013/5/20,1.25338e-278
,,,,2013/5/21,2.37494e-280
,,,,2013/5/22,5.03042e-282
,,,,2013/5/23,9.76948e-284
,,,,2013/5/24,1.89975e-285
,,,,2013/5/28,3.56346e-287
,,,,2013/5/29,7.49817e-289
,,,,2013/5/30,1.42336e-290
,,,,2013/5/31,3.06649e-292
,,,,2013/6/3,5.98818e-294
,,,,2013/6/4,1.25741e-295
,,,,2013/6/5,2.8035e-297
,,,,2013/6/6,5.28399e-299
,,,,2013/6/7,1.00119e-300
,,,,2013/6/10,2.01928e-302
,,,,2013/6/11,4.51911e-304
,,,,2013/6/12,9.9502e-306
,,,,2013/6/13,1.83768e-307
,,,,2013/6/14,4.00334e-309
,,,,2013/6/17,8.11277e-311
,,,,2013/6/18,1.60515e-312
,,,,2013/6/19,3.74351e-314
,,,,2013/6/20,9.57335e-316
,,,,2013/6/21,2.00999e-317
,,,,2013/6/24,4.55356e-319
,,,,2013/6/25,9.02164e-321
,,,,2013/6/26,1.87745e-322
,,,,2013/6/27,4.94066e-324
,,,,2013/6/28,0
,,,,2013/7/1,0
,,,,2013/7/2,0
,,,,2013/7/3,0
,,,,2013/7/4,0
,,,,2013/7/5,0
,,,,2013/7/8,0
,,,,2013/7/9,0
,,,,2013/7/10,0
,,,,2013/7/11,0
,,,,2013/7/12,0
,,,,2013/7/15,0
,,,,2013/7/16,0
,,,,2013/7/17,0
,,,,2013/7/18,0
,,,,2013/7/19,0
,,,,2013/7/22,0
,,,,2013/7/23,0
,,,,2013/7/24,0
,,,,2013/7/25,0
,,,,2013/7/26,0
,,,,2013/7/29,0
,,,,2013/7/30,0
,,,,2013/7/31,0
,,,,2013/8/1,0
,,,,2013/8/2,0
,,,,2013/8/5,0
,,,,2013/8/6,0
,,,,2013/8/7,0
,,,,2013/8/8,0
,,,,2013/8/9,0
,,,,2013/8/12,0
,,,,2013/8/13,0
,,,,2013/8/14,0
,,,,2013/8/15,0
,,,,2013/8/16,0
,,,,2013/8/19,0
,,,,2013/8/20,0
,,,,2013/8/21,0
,,,,2013/8/22,0
,,,,2013/8/23,0
,,,,2013/8/26,0
,,,,2013/8/27,0
,,,,2013/8/28,0
,,,,2013/8/29,0
,,,,2013/8/30,0
,,,,2013/9/3,0
,,,,2013/9/4,0
,,,,2013/9/5,0
,,,,2013/9/6,0
,,,,2013/9/9,0
,,,,2013/9/10,0
,,,,2013/9/11,0
,,,,2013/9/12,0
,,,,2013/9/13,0
,,,,2013/9/16,0
,,,,2013/9/17,0
,,,,2013/9/18,0
,,,,2013/9/19,0
,,,,2013/9/20,0
,,,,2013/9/23,0
,,,,2013/9/24,0
,,,,2013/9/25,0
,,,,2013/9/26,0
,,,,2013/9/27,0
,,,,2013/9/30,0
,,,,2013/10/1,0
,,,,2013/10/2,0
,,,,2013/10/3,0
,,,,2013/10/4,0
,,,,2013/10/7,0
,,,,2013/10/8,0
,,,,2013/10/9,0
,,,,2013/10/10,0
,,,,2013/10/11,0
,,,,2013/10/15,0
,,,,2013/10/16,0
,,,,2013/10/17,0
,,,,2013/10/18,0
,,,,2013/10/21,0
,,,,2013/10/22,0
,,,,2013/10/23,0
,,,,2013/10/24,0
,,,,2013/10/25,0
,,,,2013/10/28,0
,,,,2013/10/29,0
,,,,2013/10/30,0
,,,,2013/10/31,0
,,,,2013/11/1,0
,,,,2013/11/4,0
,,,,2013/11/5,0
,,,,2013/11/6,0
,,,,2013/11/7,0
,,,,2013/11/8,0
,,,,2013/11/12,0
,,,,2013/11/13,0
,,,,2013/11/14,0
,,,,2013/11/15,0
,,,,2013/11/18,0
,,,,2013/11/19,0
,,,,2013/11/20,0
,,,,2013/11/21,0
,,,,2013/11/22,0
,,,,2013/11/25,0
,,,,2013/11/26,0
,,,,2013/11/27,0
,,,,2013/11/28,0
,,,,2013/11/29,0
,,,,2013/12/2,0
,,,,2013/12/3,0
,,,,2013/12/4,0
,,,,2013/12/5,0
,,,,2013/12/6,0
,,,,2013/12/9,0
,,,,2013/12/10,0
,,,,2013/12/11,0
,,,,2013/12/12,0
,,,,2013/12/13,0
,,,,2013/12/16,0
,,,,2013/12/17,0
,,,,2013/12/18,0
,,,,2013/12/19,0
,,,,2013/12/20,0
,,,,2013/12/23,0
,,,,2013/12/24,0
,,,,2013/12/25,0
,,,,2013/12/26,0
,,,,2013/12/27,0
,,,,2013/12/30,0
,,,,2013/12/31,0
,,,,2014/1/1,0
,,,,2014/1/2,0
,,,,2014/1/3,0
,,,,2014/1/6,0
,,,,2014/1/7,0
,,,,2014/1/8,0
,,,,2014/1/9,0
,,,,2014/1/10,0
,,,,2014/1/13,0
,,,,2014/1/14,0
,,,,2014/1/15,0
,,,,2014/1/16,0
,,,,2014/1/17,0
,,,,2014/1/21,0
,,,,2014/1/22,0
,,,,2014/1/23,0
,,,,2014/1/24,0
,,,,2014/1/27,0
,,,,2014/1/28,0
,,,,2014/1/29,0
,,,,2014/1/30,0
,,,,2014/1/31,0
,,,,2014/2/3,0
,,,,2014/2/4,0
,,,,2014/2/5,0
,,,,2014/2/6,0
,,,,2014/2/7,0
,,,,2014/2/10,0
,,,,2014/2/11,0
,,,,2014/2/12,0
,,,,2014/2/13,0
,,,,2014/2/18,0
,,,,2014/2/19,0
,,,,2014/2/20,0
,,,,2014/2/21,0
,,,,2014/2/24,0
