Risk Factor Type, Risk Factor Name, Term, Proxy Name, Proxy Multiplier, Proxy Spread, Comments
EQ, C78462F10_NYSE_SPY_ETF_Return,,C78462F10_NYSE_SPY_Return, ,,UseEOD
EQ,INDUA_C26099405_EQTV,,SP500_C00000117_EQTV, ,,
IR, IRGBP_Deposit,,IRGBP_Mmarket, ,,,
IR, FXARS_Forward,,ARSSpot, ,,,
IR, FXBBD_Forward,,BBDSpot, ,,,
IR, FXBDT_Forward,,BDTSpot, ,,,
IR, FXBIF_Forward,,BIFSpot, ,,,
IR, FXBMD_Forward,,BMDSpot, ,,,
IR, FXCRC_Forward,,CRCSpot, ,,,
IR, FXDJF_Forward,,DJFSpot, ,,,
IR, FXDZD_Forward,,DZDSpot, ,,,
IR, FXEEK_Forward,,EEKSpot, ,,,
IR, FXETB_Forward,,ETBSpot, ,,,
IR, FXFJD_Forward,,FJDSpot, ,,,
IR, FXGHS_Forward,,GHSSpot, ,,,
IR, FXGMD_Forward,,GMDSpot, ,,,
IR, FXGYD_Forward,,GYDSpot, ,,,
IR, FXHNL_Forward,,HNLSpot, ,,,
IR, FXIQD_Forward,,IQDSpot, ,,,
IR, FXIRR_Forward,,IRRSpot, ,,,
IR, FXJMD_Forward,,JMDSpot, ,,,
IR, FXLBP_Forward,,LBPSpot, ,,,
IR, FXLVL_Forward,,LVLSpot, ,,,
IR, FXMRO_Forward,,MROSpot, ,,,
IR, FXMWK_Forward,,MWKSpot, ,,,
IR, FXNAD_Forward,,NADSpot, ,,,
IR, FXPYG_Forward,,PYGSpot, ,,,
IR, FXSCR_Forward,,SCRSpot, ,,,
IR, FXSDG_Forward,,SDGSpot, ,,,
IR, FXSZL_Forward,,SZLSpot, ,,,
IR, FXTND_Forward,,TNDSpot, ,,,
IR, FXTZS_Forward,,TZSSpot, ,,,
IR, FXUAH_Forward,,UAHSpot, ,,,
IR, FXUGX_Forward,,UGXSpot, ,,,
IR, FXUSD_Forward,,IRUSD_Interbank, ,,,
IR, FXUYU_Forward,,UYUSpot, ,,,
IR, FXVEF_Forward,,VEFSpot, ,,,
IR, FXXAF_Forward,,XAFSpot, ,,,
IR, FXXOF_Forward,,XAFSpot, ,,,
IR, FXZMK_Forward,,ZMKSpot, ,,,
IR, FXZMW_Forward,,ZMWSpot, ,,,
IR, IRAUD_BBS3M,,IRAUD_Interbank, ,,,
IR, IRAUD_USDCC,,IRAUD_Interbank, ,,,
IR, IRCAD_BA,,IRCAD_Interbank, ,,,
IR, IRCAD_USDCC,,IRCAD_Interbank, ,,,
IR, IRCHF_USDCC,,IRCHF_Interbank, ,,,
IR, IRCZK_PRIBOR,,IRCZK_Interbank, ,,,
IR, IRDEM_USDCC,,IRDEM_Interbank, ,,,
IR, IREUR_EIB1M,,IREUR_Interbank, ,,,
IR, IREUR_EIB1Y,,IREUR_Interbank, ,,,
IR, IREUR_EIB3M,,IREUR_Interbank, ,,,
IR, IREUR_EIBOR,,IREUR_Interbank, ,,,
IR, IREUR_EONIA,,IREUR_Interbank, ,,,
IR, IREUR_FRCPI,,IREUR_Interbank, ,,,
IR, IREUR_HICP,,IREUR_Interbank, ,,,
IR, IREUR_USDCC,,IREUR_Interbank, ,,,
IR, IRGBP_LIB1M,,IRGBP_Interbank, ,,,
IR, IRGBP_LIB3M,,IRGBP_Interbank, ,,,
IR, IRGBP_SONIA,,IRGBP_Interbank, ,,,
IR, IRGBP_USDCC,,IRGBP_Interbank, ,,,
IR, IRHKD_USDCC,,IRHKD_Interbank, ,,,
IR, IRJPY_LIB1M,,IRJPY_Interbank, ,,,
IR, IRJPY_LIB1Y,,IRJPY_Interbank, ,,,
IR, IRJPY_LIB3M,,IRJPY_Interbank, ,,,
IR, IRJPY_TIB1M,,IRJPY_Interbank, ,,,
IR, IRJPY_TIB3M,,IRJPY_Interbank, ,,,
IR, IRJPY_TIBOR,,IRJPY_Interbank, ,,,
IR, IRJPY_Treasury,,IRJPY_Interbank, ,,,
IR, IRJPY_USDCC,,IRJPY_Interbank, ,,,
IR, IRNLG_USDCC,,IRNLG_Interbank, ,,,
IR, IRPLN_WIBOR,,IRPLN_Interbank, ,,,
IR, IRSEK_STIBOR,,IRSEK_Interbank, ,,,
IR, IRUSD_AAGIC,,IRUSD_Interbank, ,,,
IR, IRUSD_FEDFD,,IRUSD_Interbank, ,,,
IR, IRUSD_LIA6M,,IRUSD_Interbank, ,,,
IR, IRUSD_Interbank1,,IRUSD_Interbank, ,,,
IR, IRUSD_LIB1Y,,IRUSD_Interbank, ,,,
IR, IRUSD_LIB6M,,IRUSD_Interbank, ,,,
IR, IRUSD_MERID,,IRUSD_Interbank, ,,,
IR, IRUSD_MUNI,,IRUSD_Interbank, ,,,
IR, IRUSD_TBILL,,IRUSD_Treasury, ,,,
IR, IRUSD_INAAA,,IRUSD_INAAASP, ,,,
IR, IRUSD_CAProvince,,IRUSD_INAAASP, ,,,
IR, IRUSD_Supranational,,IRUSD_Treasury, ,,,
IR, IRUSD_MUAAA,,IRUSD_MUAAASP, ,,,
