TripleID, SpotPrice
C00036020_NASDAQ_AAON,19.06
C00036110_NYSE_AIR,27.71
C00037520_NYSE_ABB,22.91
C00081T10_NYSE_ACCO,7.91
C00095710_NYSE_ABM,28.34
C00100410_NASDAQ_ADMT,0.1383
C00101J10_NYSE_ADT,37.2
C00103110_NASDAQ_AEPI,45.42
C00105510_NYSE_AFL,61.05
C00108410_NYSE_AGCO,48.12
C00120410_NYSE_GAS,54.09
C00123620_NASDAQ_AGRT,0.0050
C00128210_NYSE_AHC,11.47
C00130H10_NYSE_AES,14.94
C00154710_NYSE_AKS,9.84
C00163010_NASDAQ_ALRT,0.0325
C00163U10_NASDAQ_AMAG,23.36
C00164V10_NASDAQ_AMCX,65.15
C00165C10_NYSE_AMC,24.8
C00174410_NYSE_AHS,15.67
C00184X10_NYSE_AOL,43.07
C00191G10_NYSE_ARC,7.38
C00206R10_NYSE_T,35.01
C00208J10_NASDAQ_ATPAQ,0.0070
C00211Y20_NASDAQ_ABIO,1.35
C00212110_NYSE_ATEN,11.65
C00214P10_NASDAQ_IPTK,0.03
C00225510_NYSE_AUO,4.83
C00234P10_NASDAQ_AVHI,15.64
C00242230_NASDAQ_AVTC,1.75
C00244410_NYSE_AVX,13.73
C00246W10_NASDAQ_AXTI,2.77
C00247410_NYSE_AZZ,45.2
C00253530_NYSE_AAN,25.9
C00253U40_NASDAQ_ASTM,3.13
C00256710_NASDAQ_ABAX,48.78
C00258J10_NASDAQ_ABKI,0.75
C00282410_NYSE_ABT,42.81
C00287Y10_NYSE_ABBV,55.57
C00289620_NYSE_ANF,40.92
C00300910_AMEX_FAX,6.11
C00301110_AMEX_IAF,8.84
C00305P10_AMEX_IF,10.0562
C00365410_NASDAQ_ABMD,25.25
C00383010_NASDAQ_AXAS,5.29
C00388130_NASDAQ_ACTG,17.63
C00404A10_NASDAQ_ACHC,50.87
C00422510_NASDAQ_ACAD,27.93
C00430L10_NASDAQ_ABPI,0.0020
C00430M10_NASDAQ_ACLZ,1.37
C00436510_NASDAQ_ACDU,2.0E-4
C00438V10_NASDAQ_ACHI,7.85
C00439710_NASDAQ_ARAY,8.0
C00439T20_NYSE_ACW,4.48
C00444610_NASDAQ_ACET,22.12
C00444T10_NASDAQ_ACRX,8.09
C00448Q20_NASDAQ_ACHN,12.75
C00449810_NASDAQ_ACIW,19.605
C00484810_NASDAQ_ACFN,1.94
C00484M10_NASDAQ_ACOR,31.96
C00485410_NYSE_ATV,2.14
C00504W30_NASDAQ_ACPW,2.09
C00507E10_NASDAQ_ACTS,2.44
C00507V10_NASDAQ_ATVI,23.86
C00508B10_NASDAQ_BIRT,4.32
C00508X20_NYSE_ATU,33.51
C00508Y10_NYSE_AYI,122.42
C00509410_NASDAQ_ACTA,17.2
C00512510_NASDAQ_ACXM,18.48
C00621210_NYSE_ADX,14.21
C00685420_NASDAQ_ADEP,7.56
C00687A10_NASDAQ_ADDYY,37.939
C00724F10_NASDAQ_ADBE,73.39
C00738A10_NASDAQ_ADTN,22.76
C00751Y10_NYSE_AAP,136.8
C00752K20_NASDAQ_ACTCD,10.11
C00756M40_NYSE_ASX,6.13
C00762420_NASDAQ_ADXS,4.01
C00762W10_NASDAQ_ABCO,47.54
C00765F10_NYSE_AAV,5.63
C00765X10_NASDAQ_ADMD,0.0045
C00766T10_NYSE_ACM,37.51
C00767E10_NASDAQ_AEGR,31.09
C00770C10_NASDAQ_ADES,22.0
C00770F10_NASDAQ_AEGN,24.55
C00776710_NYSE_ARX,10.59
C00786510_NYSE_ARO,4.23
C00790310_NYSE_AMD,4.13
C00792410_NYSE_AEG,8.23
C00794710_NASDAQ_AERT,0.105
C00797310_NASDAQ_AEIS,19.11
C00797410_NASDAQ_ADVS,33.24
C00797530_NASDAQ_AEZS,1.3601
C00807310_NASDAQ_AVAV,30.61
C00808P20_NASDAQ_AESAY,7.196
C00808Y10_NASDAQ_AEMD,0.123
C00817Y10_NYSE_AET,83.95
C00825210_NYSE_AMG,211.22
C00826A10_NASDAQ_AFFY,0.1804
C00826T10_NASDAQ_AFFX,8.48
C00830V10_NASDAQ_ACCS,0.0011
C00846U10_NYSE_A,57.65
C00847410_NYSE_AEM,33.82
C00847G70_NASDAQ_AGEN,3.02
C00847J10_NASDAQ_AGYS,12.4
C00847X10_NASDAQ_AGIO,45.49
C00850P10_NASDAQ_AGRC,0.06
C00856J10_NASDAQ_AGTK,0.132
C00891610_NYSE_AGU,93.35
C00911910_NASDAQ_AFLYY,11.145
C00912830_NASDAQ_AIRM,57.93
C00912X30_NYSE_AL,37.47
C00915810_NYSE_APD,131.99
C00922R10_NASDAQ_ATSG,8.6
C00936310_NYSE_ARG,110.47
C00941110_NASDAQ_AMCN,1.8
C00971T10_NASDAQ_AKAM,61.815
C01129510_NASDAQ_ALME,0.0022
C01152710_NYSE_AGI,8.799264
C01165910_NYSE_ALK,47.33
C01167P10_NASDAQ_ALSK,1.72
C01234810_NYSE_AIN,37.5
C01242310_NASDAQ_AMRI,20.14
C01265310_NYSE_ALB,63.85
C01381710_NYSE_AA,17.01
C01390430_NYSE_ALU,3.4
C01449110_NYSE_ALEX,40.58
C01449J10_NYSE_ALR,36.41
C01527110_NYSE_ARE,79.77
C01535110_NASDAQ_ALXN,164.16
C01625510_NASDAQ_ALGN,55.58
C01625910_NASDAQ_ALIM,6.0
C01643A10_NASDAQ_WTER,0.12
C01643P10_NASDAQ_AASP,2.96
C01643V10_NASDAQ_AAGC,0.0016
C01663B10_NASDAQ_AFSE,0.0301
C01663C10_NASDAQ_PTPF,0.3175
C01741R10_NYSE_ATI,42.28
C01748X10_NASDAQ_ALGT,126.59
C01849010_NYSE_AGN,166.94
C01852230_NYSE_ALE,48.3
C01858110_NYSE_ADS,256.45
C01858T10_NASDAQ_ACGX,0.0032
C01860630_NASDAQ_AIQ,27.61
C01861G10_NASDAQ_AHGP,71.55
C01877210_NYSE_AOI,2.13
C01877R10_NASDAQ_ARLP,48.8
C01879R10_NYSE_AWF,13.94
C01880210_NYSE_LNT,58.95
C01880410_NYSE_ATK,126.42
C01881G10_NYSE_AB,26.7
C01884710_NASDAQ_AAST,0.0061
C01934410_AMEX_ANV,3.48
C01973R10_NYSE_ALSN,30.11
C01988P10_NASDAQ_MDRX,15.125
C02000210_NYSE_ALL,61.39
C02005N10_NYSE_ALLY,24.82
C02028310_AMEX_AAU,1.5
C02040910_NASDAQ_AFAM,27.88
C02043Q10_NASDAQ_ALNY,67.79
C02052010_NYSE_ALJ,16.87
C02052T10_NYSE_ALDW,19.48
C02076X10_NYSE_ANR,3.47
C02077210_AMEX_APT,2.59
C02081G10_NASDAQ_ATEC,1.61
C02083A10_NYSE_AWP,7.24
C02109020_NASDAQ_APELY,31.048
C02115210_NASDAQ_ALSE,0.0325
C02144110_NASDAQ_ALTR,36.28
C02152E20_NASDAQ_AEGY,4.0E-4
C02152X10_NASDAQ_AFAI,0.1
C02153P10_NASDAQ_ASIUQ,0.0011
C02153W10_NYSE_RESI,25.04
C02154D10_NASDAQ_NGLPF,0.054995
C02208R10_NASDAQ_AIMC,33.33
C02209S10_NYSE_MO,43.49
C02227610_NYSE_ACH,11.83
C02300U10_NASDAQ_AMBS,0.106
C02301P10_NASDAQ_AMARQ,0.0025
C02311120_NASDAQ_AMRN,2.05
C02313510_NASDAQ_AMZN,342.34
C02313988_NASDAQ_AMBC,22.77
C02316410_NASDAQ_ABCP,1.3
C02317710_NASDAQ_EPAX,3.9
C02343610_NASDAQ_AMED,21.08
C02360810_NYSE_AEE,39.52
C02361E10_NYSE_AMRC,7.89
C02364V10_NASDAQ_ATAX,6.04
C02364W10_NYSE_AMX,26.32
C02376R10_NASDAQ_AAL,38.23
C02385010_AMEX_APP,0.965
C02406110_NYSE_AXL,18.34
C02460010_NASDAQ_ABMC,0.12
C02483510_NYSE_ACC,40.12
C02503X10_NASDAQ_AGNC,23.68
C02503Y10_NASDAQ_ACAS,15.38
C02504A10_NASDAQ_MTGE,20.45
C02519910_NASDAQ_AACS,0.0017
C02553710_NYSE_AEP,53.53
C02553E10_NYSE_AEO,13.88
C02554F30_AMEX_AMZG,4.79
C02563620_NASDAQ_AEGG,0.171
C02567620_NYSE_AEL,24.44
C02581610_NYSE_AXP,88.93
C02593210_NYSE_AFG,59.84
C02640N10_NASDAQ_ERBB,0.018
C02650U10_NASDAQ_AHII,0.07
C02665T30_NYSE_AMH,18.13
C02687478_NYSE_AIG,55.32
C02715810_NASDAQ_OREO,0.0050
C02729710_AMEX_ALN,1.25
C02906T10_NASDAQ_AMPW,0.0048
C02906V10_NASDAQ_APGI,0.58
C02913V10_NASDAQ_APEI,29.94
C02916P10_NASDAQ_ARII,80.52
C02917T10_NASDAQ_ARCP,13.25
C02927E30_NYSE_ARPI,19.45
C02942910_NASDAQ_ASEI,58.53
C02961620_NASDAQ_AMNP,0.09
C02968310_NASDAQ_AMSWA,8.87
C02968P10_NASDAQ_SOYL,0.0131
C02989910_NYSE_AWR,32.02
C03011110_NASDAQ_AMSC,1.56
C03027X10_NYSE_AMT,99.36
C03037110_NYSE_AVD,13.19
C03042010_NYSE_AWK,50.1
C03050610_NASDAQ_AMWD,39.69
C03062T10_NASDAQ_CRMT,41.63
C03073V10_NASDAQ_AMTY,0.063
C03076C10_NYSE_AMP,126.31
C03077G10_NASDAQ_AMEL,0.0017
C03097510_NYSE_APU,45.9
C03110010_NYSE_AME,53.02
C03116210_NASDAQ_AMGN,139.27
C03152W10_NASDAQ_FOLD,7.47
C03165210_NASDAQ_AMKR,10.14
C03203710_NYSE_AP,20.77
C03209510_NYSE_APH,104.08
C03209T10_AMEX_AMPE,3.69
C03232P40_NASDAQ_AMSG,52.36
C03233250_NASDAQ_ASYS,11.31
C03235930_NASDAQ_AFSI,43.13
C03236M10_NASDAQ_AMRS,4.08
C03242010_NASDAQ_ANAC,22.29
C03251110_NYSE_APC,107.02
C03265410_NASDAQ_ADI,50.07
C03265720_NASDAQ_ALOG,71.16
C03416410_NASDAQ_ANDE,69.38
C03439310_NASDAQ_ANDR,0.0929
C03475410_NASDAQ_ANGI,7.63
C03475V10_NASDAQ_ANGO,13.55
C03512820_NYSE_AU,15.38
C03524A10_NYSE_BUD,111.45
C03525510_NASDAQ_ANIK,42.58
C03529010_NYSE_AXE,88.28
C03571040_NYSE_NLY,11.8
C03600T10_NYSE_BNNY,33.51
C03662Q10_NASDAQ_ANSS,81.55
C03664210_NASDAQ_ATRS,2.26
C03674X10_NYSE_AR,55.96
C03735510_NASDAQ_EXMT,0.0030
C03741110_NYSE_APA,97.93
C03748R10_NYSE_AIV,34.65
C03759810_NASDAQ_APOG,36.09
C03760410_NASDAQ_APOL,26.96
C03761230_NYSE_APO,23.67
C03761U10_NASDAQ_AINV,8.81
C03762U10_NYSE_ARI,16.92
C03763710_NASDAQ_ASOE,0.18
C03763V10_NYSE_AMTG,16.99
C03783310_NASDAQ_AAPL,98.36
C03815U10_NASDAQ_APDN,0.102
C03819M10_NASDAQ_AERG,0.0167
C03820C10_NYSE_AIT,48.99
C03822210_NASDAQ_AMAT,22.665
C03822W40_NASDAQ_AMCC,8.0
C03823M10_NASDAQ_AMNL,0.74
C03832V10_NASDAQ_APRI,1.83
C03833610_NYSE_ATR,64.71
C03834A10_NASDAQ_AREX,16.65
C03834Q10_NASDAQ_APPG,0.4
C03836W10_NYSE_WTR,24.78
C03840C10_NASDAQ_AQNM,0.015
C03852U10_NYSE_ARMK,26.89
C03892310_NYSE_ABR,6.9
C03937C10_NASDAQ_ARCB,36.91
C03938010_NYSE_ACI,3.09
C03938L10_NYSE_MT,14.63
C03939W10_NASDAQ_ARTH,0.1751
C03948310_NYSE_ADM,50.53
C03967010_NASDAQ_ACAT,36.43
C04004710_NASDAQ_ARNA,3.95
C04010L10_NASDAQ_ARCC,17.035
C04013V10_NYSE_ACRE,12.59
C04033A10_NASDAQ_ARIA,5.96
C04041420_NASDAQ_ASPW,0.07
C04135620_NYSE_AI,27.78
C04206810_NASDAQ_ARMH,47.53
C04215010_NASDAQ_AOIL,0.195
C04231510_NYSE_ARR,4.26
C04268220_NASDAQ_ARTX,4.18
C04269E10_NASDAQ_ARQL,1.28
C04269N10_NASDAQ_ARYC,0.1524
C04269X10_NASDAQ_ARRY,3.63
C04270V10_NASDAQ_ARRS,31.53
C04273510_NYSE_ARW,61.5
C04276R10_NASDAQ_ARWD,0.0040
C04279720_NASDAQ_ARWR,16.69
C04315T10_NASDAQ_AHFP,0.048
C04316A10_NYSE_APAM,54.58
C04317610_NASDAQ_ARUN,21.69
C04341Y10_AMEX_AKG,2.108157
C04343610_NYSE_ABG,71.4
